id,source,title,publication_date,section,page,length,byline,ent_countries,ent_places,ent_places_fr,ent_places_nl,ent_places_uk,n_entities,n_sentences,n_stopwords,n_tokens,n_unique_entities,n_words,pos_adj,pos_adp,pos_adv,pos_conj,pos_det,pos_noun,pos_num,pos_pron,pos_propn,pos_punct,pos_space,pos_verb,pos_x,unique_ent_countries,unique_ent_places,unique_ent_places_fr,unique_ent_places_nl,unique_ent_places_uk
leeuw_0051,Leeuwarder Courant,'Klimaatrealist' in het zonnetje,2017-03-02,in het nieuws,2,382,WILLEM BOSMA,1,,2,,,3,28,192,470,3,278,16,45,36,19,34,104,6,32,24,71,16,60,7,1,,2,,
leeuw_0052,Leeuwarder Courant,Brits Hogerhuis zet brexit voet dwars,2017-03-02,advertenties,8,89,,1,,,,,1,4,44,102,1,58,2,16,2,5,11,24,2,6,5,10,1,17,1,1,,,,
leeuw_0053,Leeuwarder Courant,Britse restaurants in het nauw,2017-03-02,economie,10,592,SUSE VAN KLEEF,3,,,,2,5,39,290,714,3,424,32,68,49,37,52,164,23,53,11,116,15,89,5,2,,,,1
leeuw_0054,Leeuwarder Courant,Verffabriek Anker Stuy gaat Britse markt op,2017-03-02,economie,10,153,,2,,,,,2,9,65,177,2,112,8,21,6,9,19,45,3,4,7,27,7,19,2,2,,,,
leeuw_0055,Leeuwarder Courant,VIEW VIER JAAR LOL EN ÉÉN DAG BUIKPIJN (2),2017-03-04,weekend,10,1503,,4,,1,3,,8,132,881,1957,7,1076,100,131,188,87,133,319,24,232,18,376,54,285,10,4,,1,2,
leeuw_0056,Leeuwarder Courant,Labour verliest onder Corbyn duizenden leden,2017-03-04,advertenties,10,151,,,,,,,,10,70,166,0,96,11,19,14,7,9,41,5,12,4,13,5,26,,,,,,
leeuw_0057,Leeuwarder Courant,DE DUISTERE KANT VAN HET POPULISME,2017-03-04,weekend,16,1750,TEKST MANNUS VAN DERLAAN,7,,,3,,10,129,864,1948,5,1084,117,207,155,80,199,403,36,134,47,244,54,258,14,3,,,2,
leeuw_0058,Leeuwarder Courant,Afwijkende mening,2017-03-04,algemeen,40,2258,TEKST PETER GROENENDIJK,5,2,,9,,16,191,1334,2851,6,1517,169,214,265,164,137,441,81,397,37,447,81,393,25,2,1,,3,
leeuw_0059,Leeuwarder Courant,Onberekenbaarheid van Trump slecht voor Poetin,2017-03-07,buitenland,10,547,HANS VAN ZON,7,4,,,,11,39,264,657,7,393,42,59,39,23,62,137,5,48,19,106,18,92,7,5,2,,,
leeuw_0060,Leeuwarder Courant,Peugeot Citroën neemt Opel over voor 22 miljard,2017-03-07,economie,12,645,MARC KRUYSWIJK,3,1,,,,4,42,318,741,4,423,45,86,75,30,65,163,31,26,22,74,22,99,3,3,1,,,
leeuw_0061,Leeuwarder Courant,Weer nederlaag May in Brits Hogerhuis,2017-03-08,voorpagina,1,162,,,,,,,,10,80,171,0,91,8,19,10,10,25,41,1,8,3,15,4,26,1,,,,,
leeuw_0062,Leeuwarder Courant,Europa koerst af op meerdere snelheden,2017-03-11,advertenties,10,414,,15,2,,1,,18,23,194,495,16,301,30,57,33,26,45,116,9,27,13,61,13,60,5,13,2,,1,
leeuw_0063,Leeuwarder Courant,Schotten sturen aan op nieuw referendum,2017-03-14,advertenties,10,473,,5,,,,2,7,28,268,565,4,297,32,53,39,39,52,105,8,48,10,74,14,88,3,3,,,,1
leeuw_0064,Leeuwarder Courant,Cliffhanger,2017-03-15,in het nieuws,2,435,"ROELAND SPREY , commentaar@lc.nl",3,,,,,3,24,234,491,2,257,16,61,43,21,50,113,8,41,12,44,13,66,3,2,,,,
leeuw_0065,Leeuwarder Courant,Een pak rammel,2017-03-16,in het nieuws,2,436,,3,,,,,3,28,187,454,3,267,32,40,42,20,52,100,9,21,18,41,12,64,3,3,,,,
leeuw_0066,Leeuwarder Courant,Golf van opluchting bij VVD over 'overwinningsnederlaag',2017-03-16,in het nieuws,6,247,JAN HOEDEMAN,2,,,,,2,20,119,293,2,174,13,32,17,7,41,70,10,10,9,41,6,36,1,2,,,,
leeuw_0067,Leeuwarder Courant,Rutte: Verkeerde populisme gestopt,2017-03-16,in het nieuws,6,411,,4,1,,,,5,31,219,530,4,311,25,46,31,21,47,97,8,45,13,98,11,86,2,3,1,,,
leeuw_0068,Leeuwarder Courant,Wie wil en durft met Rutte te regeren?,2017-03-16,advertenties,8,621,HANS VAN SOEST,4,,,,,4,47,339,728,3,389,41,53,75,46,69,152,13,57,14,74,16,116,2,3,,,,
leeuw_0069,Leeuwarder Courant,Pluim voor Nederlandse kiezer,2017-03-17,voorpagina,1,280,,4,2,,1,,7,18,104,317,5,213,25,24,21,15,30,72,2,9,18,51,10,40,,2,2,,1,
leeuw_0070,Leeuwarder Courant,MKB'ER HEEFT ER WEER ZIN IN,2017-03-17,advertenties,8,145,,,,,,,,10,76,164,0,88,8,19,14,7,22,35,2,8,4,18,5,20,2,,,,,
leeuw_0071,Leeuwarder Courant,Peilers: Turkijerel 'gamechanger',2017-03-17,binnenland,10,429,TONNY VAN DER MEE,1,,,4,,5,22,221,524,2,303,36,48,31,25,48,106,14,37,11,79,12,66,11,1,,,1,
leeuw_0072,Leeuwarder Courant,Britse koningin bekrachtigt brexit,2017-03-17,buitenland,14,60,,,1,,,,1,4,28,67,1,39,6,5,4,2,7,15,,5,3,5,1,13,1,,1,,,
leeuw_0073,Leeuwarder Courant,Opnieuw explosieve groei visserij,2017-03-18,economie,30,378,JAAP HELLINGA,,,,2,,2,26,162,409,1,247,29,55,25,12,42,98,36,11,3,32,10,46,10,,,,1,
leeuw_0074,Leeuwarder Courant,Frivool,2017-03-18,cultuur,36,379,,,,,,,,21,180,412,0,232,10,44,32,22,41,92,3,27,5,45,11,75,5,,,,,
leeuw_0075,Leeuwarder Courant,'Tegenstanders brexit welkom in Schotland',2017-03-20,buitenland,6,133,,4,,,,1,5,6,59,139,3,80,9,26,4,5,14,27,3,6,5,16,2,22,,2,,,,1
leeuw_0076,Leeuwarder Courant,Heel veel om tevreden over te zijn,2017-03-20,algemeen,8,1339,SIMON KUPER,24,1,,2,,27,81,615,1461,11,846,115,137,121,76,126,311,54,81,40,176,30,182,12,8,1,,2,
leeuw_0077,Leeuwarder Courant,Premier May zegt EU-lidmaatschap op,2017-03-21,advertenties,6,155,,1,4,,,,5,9,65,168,3,103,12,16,13,2,20,39,4,3,6,21,2,29,1,1,2,,,
leeuw_0078,Leeuwarder Courant,Europese Unie houdt brexit-top op 29 april,2017-03-22,advertenties,6,185,,,2,,,,2,10,84,199,2,115,15,19,8,11,28,47,4,6,7,22,5,25,2,,2,,,
leeuw_0079,Leeuwarder Courant,EU viert verjaardag met een rouwrandje,2017-03-24,advertenties,6,465,FRANS BOOGAARD,5,7,,,,12,37,235,533,5,298,27,52,58,28,46,123,16,30,15,59,14,64,1,3,2,,,
leeuw_0080,Leeuwarder Courant,De boodschap is duidelijk,2017-03-24,vrijdag,12,476,Hans van Lissum,,1,,,,1,30,169,540,1,371,56,41,28,23,39,116,6,27,35,73,11,74,11,,1,,,
leeuw_0081,Leeuwarder Courant,Erdogan wil breuk met EU forceren,2017-03-27,buitenland,6,374,MARC GUILLET,9,3,,,,12,18,178,413,7,235,19,60,14,19,44,105,9,21,4,51,11,54,2,4,3,,,
leeuw_0082,Leeuwarder Courant,Britse Conservatief: Brexit kan best in een middag geregeld worden,2017-03-27,buitenland,6,741,SUSE VAN KLEEF,6,3,,,1,10,48,426,939,5,513,65,90,78,42,82,173,17,87,18,139,22,120,6,3,1,,,1
leeuw_0083,Leeuwarder Courant,Brexit beheerst de beurs,2017-03-27,advertenties,10,181,,,1,,2,,3,13,72,184,2,112,12,26,5,3,25,55,2,6,9,16,2,20,3,,1,,1,
leeuw_0084,Leeuwarder Courant,TOPPERS,2017-03-28,algemeen,4,530,,1,,6,,,7,34,238,552,3,314,21,75,16,25,66,143,14,30,38,43,15,63,3,1,,2,,
leeuw_0085,Leeuwarder Courant,HOE HERKEN JE EEN POPULIST?,2017-03-28,algemeen,8,537,Wilbert Elting,2,,1,2,,5,47,291,709,4,418,26,46,72,29,36,120,14,84,25,146,17,92,2,1,,1,2,
leeuw_0086,Leeuwarder Courant,Schots parlement wil nieuw referendum,2017-03-29,advertenties,6,152,,2,,,,1,3,7,74,164,3,90,7,24,10,9,24,40,4,4,5,12,2,23,,2,,,,1
leeuw_0087,Leeuwarder Courant,Britse scheiding van EU helse opgaaf,2017-03-29,advertenties,6,370,,2,5,,,1,8,23,180,431,4,251,25,53,39,16,49,95,10,15,10,50,14,49,6,2,1,,,1
leeuw_0088,Leeuwarder Courant,"Europese Unie en UK: eerst uit elkaar, dan weer opbouwen",2017-03-30,advertenties,8,668,HANNEKE KEULTJES SUSE VAN KLEEF,17,,,,1,18,47,318,789,4,471,55,64,67,34,82,170,18,44,20,106,22,103,4,3,,,,1
leeuw_0089,Leeuwarder Courant,Londen verwacht geen miljardenrekening EU,2017-03-31,advertenties,10,63,,1,,,,,1,4,31,72,1,41,4,6,1,3,5,13,2,10,4,12,,12,,1,,,,
leeuw_0090,Leeuwarder Courant,"'Europa, word wakker of ga ten onder'",2017-03-31,advertenties,10,952,HANS VAN ZON,25,2,,,,27,73,485,1234,16,749,74,127,91,53,98,272,12,79,41,204,34,146,3,14,2,,,
leeuw_0091,Leeuwarder Courant,Lloyd's of London naar Brussel wegens brexit,2017-03-31,economie,14,137,,,3,,,,3,10,57,145,1,88,10,14,7,8,19,37,6,6,2,11,3,22,,,1,,,
leeuw_0092,Leeuwarder Courant,'Verlaten EU is zeer tegen de wil van het Schotse volk',2017-04-01,buitenland,8,291,,7,1,,,,8,18,158,355,3,197,23,47,18,16,46,89,6,19,8,30,9,44,,2,1,,,
leeuw_0093,Leeuwarder Courant,EasyJet blijft vooreerst een Europese vlieger,2017-04-01,economie,30,818,SANDER VAN MERSBERGEN,7,1,,6,2,16,69,432,983,10,551,50,94,84,43,63,197,23,101,10,148,24,138,8,5,1,,2,2
leeuw_0094,Leeuwarder Courant,'Veel bedrijven door brexit kwetsbaar',2017-04-01,economie,30,112,,1,,,,,1,7,38,109,1,71,11,11,4,6,13,30,3,1,3,9,1,17,,1,,,,
leeuw_0095,Leeuwarder Courant,Koloniale ruzie om Rots,2017-04-04,in het nieuws,2,437,"WILLEM BOSMA , commentaar@lc.nl",17,4,,1,3,25,25,191,463,10,272,39,54,29,17,57,115,12,20,8,47,11,53,1,7,1,,1,1
leeuw_0096,Leeuwarder Courant,Onrust rond de apenrots,2017-04-04,advertenties,6,400,GERBEN VAN 'T HOF,20,2,,1,1,24,21,188,418,8,230,25,57,23,19,49,97,9,17,20,36,9,54,3,4,2,,1,1
leeuw_0097,Leeuwarder Courant,'Export groeit dit jaar met 10 procent',2017-04-04,economie,12,107,,5,,,,,5,6,47,109,4,62,7,15,7,6,10,32,5,5,1,8,2,11,,4,,,,
leeuw_0098,Leeuwarder Courant,Onafhankelijkheid past Schotland niet,2017-04-04,algemeen,18,587,CHRISTOPHER C. MORGAN Jongeren & Politiek Fryslân afkomstig uit Schotland,10,,,,1,11,55,281,690,3,409,41,74,44,24,62,158,17,41,26,78,29,89,7,2,,,,1
leeuw_0099,Leeuwarder Courant,Spaans marineschip illegaal bij Gibraltar,2017-04-05,advertenties,6,162,,9,,,,1,10,9,65,171,4,106,18,21,6,6,22,47,1,4,4,16,5,18,3,3,,,,1
leeuw_0100,Leeuwarder Courant,De 'echte' brief van May naar Brussel,2017-04-05,advertenties,20,752,ULKE VEERSMA,9,2,2,,6,19,40,380,831,8,451,73,86,51,40,92,172,6,55,12,85,18,134,7,5,1,1,,1
leeuw_0101,Leeuwarder Courant,Spanje wil via brexit invloed op Gibraltar vergroten,2017-04-06,advertenties,8,896,EDWIN WINKELS,26,3,,1,1,31,53,467,1048,9,581,56,110,80,54,97,221,26,74,19,148,18,142,3,4,3,,1,1
leeuw_0102,Leeuwarder Courant,Polman heeft gewoon geld nodig Unilever wil heldere verdeling tussen Nederland en Engeland,2017-04-07,economie,12,409,,5,,,1,,6,22,216,443,3,227,23,37,39,36,38,95,4,37,9,34,10,78,3,2,,,1,
leeuw_0103,Leeuwarder Courant,Polman heeft gewoon geld nodig,2017-04-07,economie,12,415,SANDRA PHLIPP PEET VOGELS,7,,,1,,8,23,219,448,3,229,24,38,39,37,38,99,4,37,5,34,11,79,3,2,,,1,
leeuw_0104,Leeuwarder Courant,EEN MOOI BRITS DORP ZONDER TOEKOMST,2017-04-08,weekend,18,941,BUITENLAND T E K S T E N F O T O ' S G E E R T L A N G E N D O R F F,6,,,,8,14,91,446,1190,9,744,67,104,55,52,105,256,26,101,22,212,34,143,13,6,,,,3
leeuw_0105,Leeuwarder Courant,Bank of England polst alle brexitplannen,2017-04-08,economie,32,231,,1,,,,2,3,11,105,242,2,137,26,25,11,17,26,55,2,20,4,17,6,31,2,1,,,,1
leeuw_0106,Leeuwarder Courant,Dreigend bankroet door brexit,2017-04-11,economie,12,796,DICK OFFRINGA,5,,,1,1,7,48,356,845,6,489,63,112,46,40,85,192,19,39,14,97,20,109,9,4,,,1,1
leeuw_0107,Leeuwarder Courant,Goede raad,2017-04-12,in het nieuws,2,427,"ROELAND SPREY , commentaar@lc.nl",4,,,,,4,17,193,437,3,244,26,54,25,23,39,97,5,33,8,40,9,63,15,3,,,,
leeuw_0108,Leeuwarder Courant,'Populisme werkt niet in Portugal',2017-04-12,in het midden,10,894,MARK VAN ASSEN,20,,,,,20,56,509,1099,8,590,60,91,115,57,70,193,19,123,17,182,23,145,4,8,,,,
leeuw_0109,Leeuwarder Courant,Vlucht naar voren,2017-04-19,in het nieuws,2,435,"ROELAND SPREY , commentaar@lc.nl",2,2,,,,4,18,222,473,3,251,35,61,43,18,52,93,12,29,6,39,8,74,3,2,1,,,
leeuw_0110,Leeuwarder Courant,Premier May waagt beredeneerde gok,2017-04-19,binnenland,4,619,GEERT LANGENDORFF,1,,,,,1,44,291,707,1,416,51,75,49,29,71,149,12,46,13,88,15,104,5,1,,,,
leeuw_0111,Leeuwarder Courant,Brits parlement voor vroegere verkiezingen,2017-04-20,buitenland,6,175,,,,,,,,11,71,173,0,102,17,24,8,6,26,36,7,3,2,12,5,26,1,,,,,
leeuw_0112,Leeuwarder Courant,Fransen zijn klaar met socialisten en republikeinen,2017-04-22,algemeen,8,1023,BOB VAN HUËT,7,,,,,7,76,517,1232,1,715,77,101,90,66,96,254,18,114,34,189,34,153,6,1,,,,
leeuw_0113,Leeuwarder Courant,'Met Ieren en Denen schade brexit beperken',2017-04-22,buitenland,12,187,,8,1,,1,1,11,8,95,231,7,136,13,29,8,10,30,56,6,12,22,20,5,20,,4,1,,1,1
leeuw_0114,Leeuwarder Courant,EN DE WINNAAR IS ... EMMANUEL MACRON,2017-04-22,weekend,20,1179,TEKST BOB VAN HUËT,9,2,,,,11,84,601,1439,6,838,100,130,107,84,115,296,21,121,53,182,37,178,15,4,2,,,
leeuw_0115,Leeuwarder Courant,Economie en referenda,2017-04-22,economie,36,412,GERRIT GORTER,,,,,,,26,200,425,0,225,25,46,25,27,50,83,9,30,,31,14,81,4,,,,,
leeuw_0116,Leeuwarder Courant,May speelt het slim,2017-04-27,algemeen,20,159,Joop Peffer. Heerenveen,2,,,,,2,12,104,198,2,94,11,19,16,15,21,33,2,15,3,20,6,35,2,2,,,,
