,phrase,id,annotation,timestamp
78,Eindhoven,teleg_0425,+,2019-11-26 06:56:36.158676
79,Eindhoven,trouw_0394,+,2019-11-26 06:56:38.397363
80,Eindhoven,volks_0251,+,2019-11-26 06:56:39.940647
81,Eindhoven,leeuw_0127,+,2019-11-26 06:56:42.461083
82,Eindhoven,leeuw_0229,+,2019-11-26 06:56:44.909114
83,Emmeloord,trouw_0462,+,2019-11-26 06:56:47.903274
84,Emmen,leeuw_0008,+,2019-11-26 06:56:50.899393
85,Enschede,trouw_0439,+,2019-11-26 06:56:53.294522
86,Enschede,volks_0133,+,2019-11-26 06:56:56.020949
87,Feijenoord,volks_0152,+,2019-11-26 06:56:58.704243
88,Geldermalsen,volks_0133,+,2019-11-26 06:57:00.927272
89,Geleen,volks_0585,+,2019-11-26 06:57:03.198994
90,Gennep,trouw_0064,-,2019-11-26 06:57:06.148498
91,Goedereede,volks_0090,+,2019-11-26 06:57:09.343832
92,Goes,volks_0293,-,2019-11-26 06:57:42.765896
93,Gorkum,teleg_0529,+,2019-11-26 06:57:45.169386
94,Gouda,leeuw_0271,+,2019-11-26 06:57:47.278978
95,Gouda,trouw_0073,+,2019-11-26 06:57:48.763026
96,Groningen,leeuw_0008,+,2019-11-26 06:57:51.108305
97,Groningen,teleg_0532,+,2019-11-26 06:57:52.485970
98,Groningen,leeuw_0135,+,2019-11-26 06:57:54.197265
99,Groningen,trouw_0483,+,2019-11-26 06:57:55.698961
100,Groningen,volks_0595,+,2019-11-26 06:57:57.344853
101,Haarlem,teleg_0065,+,2019-11-26 06:58:00.241522
102,Haarlem,leeuw_0069,+,2019-11-26 06:58:02.633206
103,Heemskerk,trouw_0336,+,2019-11-26 06:58:04.759722
104,Heemskerk,teleg_0532,-,2019-11-26 06:58:08.695909
105,Heemskerk,trouw_0419,-,2019-11-26 06:58:24.429797
106,Heemstede,volks_0121,+,2019-11-26 06:58:27.740630
107,Heer,teleg_0456,-,2019-11-26 06:58:30.608790
108,Heer,volks_0304,-,2019-11-26 06:58:32.173975
109,Heer,volks_0294,-,2019-11-26 06:58:33.800991
110,Heer,trouw_0254,-,2019-11-26 06:58:36.118549
111,Heer,trouw_0382,-,2019-11-26 06:58:37.561308
112,Heerhugowaard,volks_0133,+,2019-11-26 06:58:40.128118
113,Heerlen,volks_0242,+,2019-11-26 06:58:42.190722
114,Heerlen,volks_0143,+,2019-11-26 06:58:45.432400
115,Helden,trouw_0167,-,2019-11-26 06:58:48.170681
116,Hellevoetsluis,trouw_0048,+,2019-11-26 06:58:56.615833
117,Helmond,trouw_0421,+,2019-11-26 06:58:59.554753
118,Hengelo,volks_0131,+,2019-11-26 06:59:02.423173
119,Hilversum,leeuw_0246,+,2019-11-26 06:59:08.421915
120,Hilversum,trouw_0070,+,2019-11-26 06:59:10.418646
121,Hilversum,volks_0025,+,2019-11-26 06:59:12.294549
122,Hoensbroek,volks_0242,+,2019-11-26 06:59:15.522787
123,Hoofddorp,teleg_0472,+,2019-11-26 06:59:22.500869
124,Hoogezand,leeuw_0212,+,2019-11-26 06:59:31.006665
125,Hoogland,teleg_0272,-,2019-11-26 06:59:34.301508
126,Hoorn,teleg_0363,-,2019-11-26 06:59:36.865223
127,Hoorn,volks_0133,+,2019-11-26 06:59:39.499991
128,Huizen,teleg_0306,-,2019-11-26 06:59:50.047066
129,Huizen,leeuw_0248,-,2019-11-26 06:59:53.070741
130,Huizen,volks_0494,-,2019-11-26 06:59:55.356800
131,Katwijk,trouw_0172,+,2019-11-26 06:59:58.033072
132,Katwijk,volks_0090,+,2019-11-26 06:59:59.909011
133,Kerkrade,volks_0242,+,2019-11-26 07:00:02.770638
134,Laren,teleg_0068,+,2019-11-26 07:00:20.866935
135,Leiden,volks_0003,+,2019-11-26 07:00:23.395417
136,Leiden,trouw_0239,+,2019-11-26 07:00:25.542628
137,Leiden,leeuw_0253,+,2019-11-26 07:00:27.499440
138,Leiden,trouw_0483,+,2019-11-26 07:00:28.813329
139,Leiden,trouw_0394,+,2019-11-26 07:00:30.711116
140,Lelystad,leeuw_0093,+,2019-11-26 07:00:34.712759
141,Lelystad,volks_0034,+,2019-11-26 07:00:36.330197
142,Lelystad,volks_0595,+,2019-11-26 07:00:38.700970
143,Lisse,teleg_0143,+,2019-11-26 07:00:41.726285
144,Lochem,teleg_0049,+,2019-11-26 07:00:44.133436
145,Lochem,volks_0416,+,2019-11-26 07:00:46.077156
146,Lochem,teleg_0132,+,2019-11-26 07:00:48.442451
147,Maassluis,leeuw_0271,+,2019-11-26 07:00:50.742011
148,Maastricht,volks_0150,+,2019-11-26 07:00:58.112334
149,Maastricht,teleg_0532,+,2019-11-26 07:01:00.361163
150,Maastricht,trouw_0430,+,2019-11-26 07:01:01.824525
151,Maastricht,trouw_0150,+,2019-11-26 07:01:03.364934
152,Maastricht,volks_0215,+,2019-11-26 07:01:04.918161
153,Made,volks_0050,-,2019-11-26 07:01:07.816705
154,Made,volks_0085,-,2019-11-26 07:01:10.289972
155,Meer,volks_0494,-,2019-11-26 07:01:12.752421
156,Meer,leeuw_0006,-,2019-11-26 07:01:14.434879
157,Meer,trouw_0053,-,2019-11-26 07:01:16.558352
158,Meer,trouw_0370,-,2019-11-26 07:01:18.090927
159,Meer,trouw_0338,-,2019-11-26 07:01:19.400053
160,Meppel,leeuw_0008,+,2019-11-26 07:01:21.646123
161,Meppel,leeuw_0271,+,2019-11-26 07:01:23.069842
162,Meppel,leeuw_0011,+,2019-11-26 07:01:24.701973
163,Mierlo,trouw_0108,-,2019-11-26 07:01:26.904664
164,Mierlo,volks_0107,-,2019-11-26 07:01:28.320476
165,Mierlo,trouw_0239,-,2019-11-26 07:01:29.592306
166,Mierlo,teleg_0245,-,2019-11-26 07:01:31.126498
167,Mierlo,volks_0213,-,2019-11-26 07:01:32.649737
168,Nieuwegein,teleg_0066,+,2019-11-26 07:01:35.313373
169,Nijkerk,trouw_0124,+,2019-11-26 07:01:38.417482
170,Nijmegen,trouw_0084,+,2019-11-26 07:01:40.753978
171,Nijmegen,trouw_0297,+,2019-11-26 07:01:43.748494
172,Nijmegen,volks_0131,+,2019-11-26 07:01:45.954594
173,Nijmegen,teleg_0232,+,2019-11-26 07:01:48.243384
174,Ouddorp,leeuw_0044,-,2019-11-26 07:01:57.994113
175,Oude Pekela,leeuw_0049,+,2019-11-26 07:02:01.229077
176,Oude Pekela,trouw_0114,+,2019-11-26 07:02:03.302093
177,Oude Pekela,leeuw_0076,+,2019-11-26 07:02:05.379913
178,Oude Pekela,trouw_0129,+,2019-11-26 07:02:08.117698
179,Papendrecht,teleg_0134,+,2019-11-26 07:02:15.811112
180,Papendrecht,teleg_0135,+,2019-11-26 07:02:17.423669
181,Papendrecht,teleg_0442,+,2019-11-26 07:02:19.176344
182,Purmerend,leeuw_0173,+,2019-11-26 07:02:21.377300
183,Purmerend,volks_0135,+,2019-11-26 07:02:22.788393
184,Putten,leeuw_0023,-,2019-11-26 07:02:25.423570
185,Ridderkerk,trouw_0124,+,2019-11-26 07:02:28.296300
186,Roden,volks_0170,+,2019-11-26 07:02:31.229250
187,Roermond,trouw_0048,+,2019-11-26 07:02:33.702655
188,Roermond,volks_0138,+,2019-11-26 07:02:35.395852
189,Rotterdam,volks_0094,+,2019-11-26 07:02:37.311184
190,Rotterdam,leeuw_0233,+,2019-11-26 07:02:41.832467
191,Rotterdam,trouw_0429,+,2019-11-26 07:02:43.549630
192,Rotterdam,trouw_0151,+,2019-11-26 07:02:44.789281
193,Rotterdam,leeuw_0049,+,2019-11-26 07:02:46.057715
194,Scheveningen,trouw_0333,+,2019-11-26 07:02:53.922807
195,Scheveningen,leeuw_0196,+,2019-11-26 07:02:55.398376
196,Scheveningen,trouw_0172,+,2019-11-26 07:02:56.754871
197,Scheveningen,volks_0003,+,2019-11-26 07:02:57.922093
198,Scheveningen,volks_0143,+,2019-11-26 07:03:00.031349
199,Schoonhoven,teleg_0091,-,2019-11-26 07:03:02.999408
200,Spijkenisse,volks_0137,+,2019-11-26 07:03:05.270746
201,Spijkenisse,volks_0099,+,2019-11-26 07:03:06.576659
202,Spijkenisse,volks_0143,+,2019-11-26 07:03:07.838659
203,Spijkenisse,trouw_0114,+,2019-11-26 07:03:09.049738
204,Spijkenisse,teleg_0121,+,2019-11-26 07:03:11.167174
205,Steenwijk,volks_0472,-,2019-11-26 07:03:14.364383
206,Terneuzen,trouw_0097,+,2019-11-26 07:03:17.753964
207,Terneuzen,volks_0591,+,2019-11-26 07:03:20.840646
208,Tholen,volks_0591,+,2019-11-26 07:03:23.783123
209,Tilburg,volks_0010,+,2019-11-26 07:03:26.834669
210,Tilburg,teleg_0455,-,2019-11-26 07:03:29.167985
211,Tilburg,trouw_0371,+,2019-11-26 07:03:33.207650
212,Tilburg,volks_0380,+,2019-11-26 07:03:34.996663
213,Tilburg,volks_0025,+,2019-11-26 07:03:36.520654
214,Urk,trouw_0159,+,2019-11-26 07:03:38.585391
215,Urk,volks_0384,+,2019-11-26 07:03:41.041152
216,Urk,trouw_0144,+,2019-11-26 07:03:42.545954
217,Urk,volks_0090,+,2019-11-26 07:03:44.537925
218,Urk,trouw_0102,+,2019-11-26 07:03:46.298901
219,Utrecht,trouw_0487,+,2019-11-26 07:03:48.072607
220,Utrecht,trouw_0170,+,2019-11-26 07:03:49.658024
221,Utrecht,trouw_0183,+,2019-11-26 07:03:51.432423
222,Utrecht,trouw_0063,+,2019-11-26 07:03:53.169203
223,Utrecht,leeuw_0095,+,2019-11-26 07:03:54.611373
224,Veenendaal,leeuw_0196,+,2019-11-26 07:03:58.248260
225,Veldhoven,volks_0595,-,2019-11-26 07:04:00.879615
226,Veldhoven,volks_0020,+,2019-11-26 07:04:04.068252
227,Veldhoven,trouw_0108,-,2019-11-26 07:04:06.037768
228,Veldhoven,teleg_0532,-,2019-11-26 07:04:08.397431
229,Venlo,volks_0142,+,2019-11-26 07:04:12.615952
230,Venlo,volks_0011,-,2019-11-26 07:04:14.599956
231,Venlo,trouw_0430,+,2019-11-26 07:04:16.207920
232,Venlo,volks_0124,+,2019-11-26 07:04:18.354763
233,Venlo,leeuw_0085,+,2019-11-26 07:04:19.868789
234,Vleuten,trouw_0048,-,2019-11-26 07:04:22.714428
235,Vlissingen,volks_0024,-,2019-11-26 07:04:28.645885
236,Vlissingen,volks_0271,+,2019-11-26 07:04:33.946105
237,Volendam,teleg_0121,+,2019-11-26 07:04:36.847757
238,Volendam,volks_0120,+,2019-11-26 07:04:38.821761
239,Volendam,volks_0143,+,2019-11-26 07:04:40.165278
240,Volendam,trouw_0102,+,2019-11-26 07:04:41.805925
241,Volendam,volks_0099,+,2019-11-26 07:04:43.605467
242,Voorschoten,trouw_0466,+,2019-11-26 07:04:46.725147
243,Vught,volks_0502,+,2019-11-26 07:04:48.954482
244,Wageningen,trouw_0159,+,2019-11-26 07:04:51.097239
245,Wageningen,trouw_0144,+,2019-11-26 07:04:52.271603
246,Wageningen,teleg_0450,+,2019-11-26 07:04:54.271089
247,Wageningen,volks_0101,+,2019-11-26 07:04:55.940357
248,Wageningen,leeuw_0102,+,2019-11-26 07:04:57.435165
249,Wassenaar,volks_0121,+,2019-11-26 07:05:00.221444
250,Wassenaar,teleg_0145,+,2019-11-26 07:05:01.835707
251,Wassenaar,leeuw_0139,-,2019-11-26 07:05:04.964399
252,Winschoten,leeuw_0049,+,2019-11-26 07:05:12.249110
253,Winterswijk,teleg_0143,-,2019-11-26 07:05:14.960973
254,Winterswijk,trouw_0347,+,2019-11-26 07:05:17.747017
255,Zaltbommel,trouw_0466,+,2019-11-26 07:05:20.493822
256,Zevenaar,volks_0328,+,2019-11-26 07:05:23.983448
257,Zierikzee,teleg_0167,+,2019-11-26 07:05:27.274967
258,Zoetermeer,teleg_0532,+,2019-11-26 07:05:29.640081
259,Zutphen,volks_0010,+,2019-11-26 07:05:32.033161
260,Zwolle,volks_0025,+,2019-11-26 07:05:34.100904
261,Zwolle,volks_0034,+,2019-11-26 07:05:36.016282
262,Zwolle,trouw_0048,+,2019-11-26 07:05:37.433507
263,Zwolle,teleg_0066,+,2019-11-26 07:05:38.746515
